id,date,time,timezone,username,tweet,Hate speech label,mentions,replies_count,retweets_count,likes_count,hashtags,retweet
1.21496515621779E+018,2020-01-08,23:10:40,India Standard Time,sattvimedia,"Yet another reason why India needs #CAA: 

Hindus Beaten by Pakistani Police for Hoisting Saffron Flag in Their Own Home. Video Published to Cower Other Hindus into Submission!

 https://www.youtube.com/watch?v=lTQxDeBmCyIÂ â€¦
@MEAIndia @Swamy39 @blsanthosh @davidfrawleyved @MODIfiedVikas @ShefVaidya",0,"['meaindia', 'swamy39', 'blsanthosh', 'davidfrawleyved', 'modifiedvikas', 'shefvaidya']",0,0,0,['#caa'],False
1.21496505665747E+018,2020-01-08,23:10:17,India Standard Time,wajidhussain177,By Lending support to the nation wide protest against #NRC and #CAA nearly 4000 people took to the roads #udaipur #Rajasthan #india #Protests @1stIndiaNews @TimesNow @ANI @News18Rajasthan @zeerajasthan_ #CAA_NRC_Protests #CAARally pic.twitter.com/6CJirGJ70o,0,"['1stindianews', 'timesnow', 'ani', 'news18rajasthan', 'zeerajasthan_']",0,0,0,"['#nrc', '#caa', '#udaipur', '#rajasthan', '#india', '#protests', '#caa_nrc_protests', '#caarally']",False
1.21496483688009E+018,2020-01-08,23:09:24,India Standard Time,vishalgthakkar,"@chetan_bhagat Just unable to understand as Y leftists & lutyens r forcibly clubbing #CAA, #NPR & #NRC. Fact remains that nationwide #NRC is not in picture as of now, no draft is ready, no official meeting took place. In-fact #NRC if comes will not effect Indian Citizens at least https://twitter.com/chetan_bhagat/status/1214765119575511040Â â€¦",0,['chetan_bhagat'],0,0,0,"['#caa', '#npr', '#nrc', '#nrc', '#nrc']",False
1.2149641671672E+018,2020-01-08,23:06:45,India Standard Time,sankarshant,The protests have become a confluence several grievances and outcries: #CAA #NRC #NPR #StateBrutality #MobsterViolence #CivilRights #Kashmir #Unemplyment Is economic distress far behind?,0,[],0,1,4,"['#caa', '#nrc', '#npr', '#statebrutality', '#mobsterviolence', '#civilrights', '#kashmir', '#unemplyment']",False
1.214964002394E+018,2020-01-08,23:06:05,India Standard Time,ansariladakh,"This video is from JYOTI NIVAS COLLEGE, BANGALORE.

BJP members came into college and threatened girl students to sign a  document which supports #CAA and put up a banner in college which states India supports CAA. 

Rt @Shehla_Rashid @naukarshah @kavita_krishnan @vakeel_saheba pic.twitter.com/LGSO0BcOZi",0,"['shehla_rashid', 'naukarshah', 'kavita_krishnan', 'vakeel_saheba']",1,7,12,['#caa'],False
1.21496323436656E+018,2020-01-08,23:03:02,India Standard Time,torobi_ning,"@deepikapadukone Is JNU the right platform for #ChhapaakPromotions now? With the same courage, why dont you share your take on #CAA? Hope you are not amongst those #BollywoodCelebs who deny to have enough knowledge on #CAA to comment.",1,['deepikapadukone'],0,0,0,"['#chhapaakpromotions', '#caa', '#bollywoodcelebs', '#caa']",False
1.21496258665294E+018,2020-01-08,23:00:28,India Standard Time,likemindedm,"You Are Watching Telangana Today News 

#CHALO_EIDGAH_MEERALAM 

Peer_O_Murshid Janab Syed Atan Shahab Mahdavi Appeal Public To Join Protests Against #CAA #NRC At Meeralam Eid Gaha After Namaaz E Jumma On 10th January 2020.

Report By Syed Nusrat Mehdi. https://youtu.be/j-01mqXQKgQÂ ",0,[],0,0,0,"['#chalo_eidgah_meeralam', '#caa', '#nrc']",False
1.2149608179861E+018,2020-01-08,22:53:26,India Standard Time,mhindustanim,@imMAK02 Girls in Bangalore ask a pro CAA poster to be removed from their college wall.. Hence are told you are Not #Indian #CAA #Bangalore #Jyotinivas college https://twitter.com/mhindustanim/status/1214950303679709185?s=19Â â€¦,0,['immak02'],0,0,0,"['#indian', '#caa', '#bangalore', '#jyotinivas']",False
1.21495847842434E+018,2020-01-08,22:44:08,India Standard Time,soulefacts,"Very Unfortunate #CAA protesters vandalized vehicles, and blocked road by cutting trees for @BJP4Assam supporters who went to participate in #Peace_Development rally today in Dhemaji. Despite all such odd, over 1 lac people attended the rally and marched peacefully. @AmitShah https://twitter.com/veeravrata/status/1214952526560129024Â â€¦",0,"['bjp4assam', 'amitshah']",0,9,8,"['#caa', '#peace_development']",False
1.21495791410601E+018,2020-01-08,22:41:54,India Standard Time,nishantpant_in,"""You want an argument or a debate""?
This is exactly how Gobhi ji also does. First he says something stupid #CAA . When ppl come on streets he reiterates the above lines in man kee baat. Then when hard facts are presented to him, he himself forgets debate & shouts, yeh jhoot hai‚",0,['srivatsayb'],0,2,1,['#caa'],False
1.2149566284678E+018,2020-01-08,22:36:47,India Standard Time,thestatesmanltd,"As far as his govt was concerned, there was no way it would allow the brazenly divisive Act to be implemented in #Punjab #AmarinderSingh asserted. #BJP #CAA #Chandigarh #MadhyaPradesh #Congress #Sikhs #Pakistan #Muslims #NDA #NRC https://www.thestatesman.com/cities/chandigarh/bjp-pay-heavy-price-stubbornness-caa-captain-1502842881.htmlÂ â€¦",0,[],0,0,0,"['#punjab', '#amarindersingh', '#bjp', '#caa', '#chandigarh', '#madhyapradesh', '#congress', '#sikhs', '#pakistan', '#muslims', '#nda', '#nrc']",False
1.21495573828134E+018,2020-01-08,22:33:15,India Standard Time,zainyali3,"sir @pbhushan1 dont worry ,,,once #NRC will follow #CAA ,they will be given citizenship & problem will be solved #IndiansagainstNRC https://twitter.com/pbhushan1/status/1214907735399006208Â â€¦",0,['pbhushan1'],0,0,0,"['#nrc', '#caa', '#indiansagainstnrc']",False
